"Format","AiM CSV File"
"Session","Sodegaura"
"Vehicle","RS660"
"Racer","Mao"
"Championship",""
"Comment","Ripa"
"Date","Saturday, April 25, 2026"
"Time","2:58 PM"
"Sample Rate","20"
"Duration","977.993"
"Segment","Session"
"Beacon Markers","303.381","388.57","473.951","562.23","649.566","733.329","818.162","977.993"
"Segment Times","5:03.381","1:25.189","1:25.381","1:28.279","1:27.336","1:23.763","1:24.833","2:39.831"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM dup 2","Throttle","Gear","Speed Rear","Lean Angle","Engine Brake"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","%","gear","km/h","deg","#"

"0.000","0.2520","13","0.0000","0.0000","-31.5351","64.1514","0.0000","145.4875","10.0000","0.1900","10000.0000","35.39478098","140.08804167","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.050","0.2520","13","0.0000","0.0000","-31.5351","64.1514","0.0000","145.4875","10.0000","0.1900","10000.0000","35.39478098","140.08804167","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.100","0.2520","13","0.0000","0.0000","-31.5351","64.1514","0.0000","145.4875","10.0000","0.1900","10000.0000","35.39478098","140.08804167","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.150","0.2520","13","0.0000","0.0000","-31.5351","64.1514","0.0000","145.4875","10.0000","0.1900","10000.0000","35.39478098","140.08804167","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.200","0.2520","13","0.0000","0.0000","-31.5351","64.1514","0.0000","145.4875","10.0000","0.1900","10000.0000","35.39478098","140.08804167","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.250","0.2520","13","0.0000","0.0000","-31.5351","64.1514","0.0000","145.4875","10.0000","0.1900","10000.0000","35.39478098","140.08804167","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.300","0.3035","13","0.0000","0.0000","-27.7475","67.7135","0.0000","145.4843","10.0000","0.1933","10000.0000","35.39478096","140.08804175","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.350","0.4176","13","0.0000","0.0000","-19.3943","79.2226","0.0000","145.4745","10.0000","0.2000","10000.0000","35.39478095","140.08804196","0.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.400","0.4061","13","0.0000","0.0000","-23.3506","60.4922","0.0000","145.4672","10.0000","0.1918","10000.0000","35.39478100","140.08804194","68.4356","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.450","0.2183","13","0.0000","0.0000","-38.9762","59.1811","0.0000","145.4586","10.0000","0.1900","10000.0000","35.39478105","140.08804187","175.3663","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.500","0.2709","13","0.0000","0.0000","-41.5343","100.7010","0.0000","145.4420","10.0000","0.1933","10000.0000","35.39478101","140.08804207","288.5400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.550","0.4475","13","0.0000","0.0000","-25.8062","112.7033","0.0000","145.4225","10.0000","0.2000","10000.0000","35.39478094","140.08804223","405.5400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.600","0.4931","13","0.0000","0.0000","-28.5053","115.4515","0.0000","145.3928","10.0000","0.2000","10000.0000","35.39478094","140.08804248","450.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.650","0.5681","13","0.0000","0.0000","-29.3611","96.8847","0.0000","145.3604","10.0000","0.2000","10000.0000","35.39478090","140.08804278","450.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.700","0.4507","13","0.0000","0.0000","-38.4996","81.4907","0.0000","145.3447","10.0000","0.1968","10000.0000","35.39478094","140.08804282","447.2100","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.750","0.4032","13","0.0000","0.0000","-43.1031","61.8180","0.0000","145.3414","10.0000","0.1842","10000.0000","35.39478103","140.08804284","442.7100","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.800","0.3646","13","0.0000","0.0000","-54.7414","51.5955","0.0000","145.3202","10.0000","0.1717","10000.0000","35.39478108","140.08804289","1010.1600","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.850","0.3730","13","0.0000","0.0000","-59.3612","102.4176","0.0000","145.3114","10.1000","0.1715","10000.0000","35.39478100","140.08804292","1928.1600","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.900","0.4597","13","0.0000","0.0000","-36.8863","104.2256","0.0000","145.3303","10.1000","0.1933","10000.0000","35.39478092","140.08804302","2475.3999","0.0000","0.0000","0.0000","-0.0001","1.0000"
"0.950","0.4522","14","0.0000","0.0000","-33.0304","105.9279","0.0000","145.3419","10.1000","0.2000","10000.0000","35.39478092","140.08804291","2795.3999","0.0000","0.0000","0.0000","-0.0001","1.0000"
